State,Number of CoCs,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered SH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Sheltered SH Chronically Homeless,Overall Chronically Homeless Individuals,Sheltered ES Chronically Homeless Individuals,Sheltered SH Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Overall Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Year
AK,2,1863,1013,658,0,1671,192,1118,641,312,0,953,165,745,372,346,718,27,244,113,123,236,8,0,164,119,0,119,45,300,270,30,2010
AL,8,6046,1428,2463,0,3891,2155,4553,997,1860,0,2857,1696,1493,431,603,1034,459,551,155,234,389,162,0,1043,502,0,502,541,1089,911,178,2010
AR,5,2762,668,1060,0,1728,1034,2120,542,770,0,1312,808,642,126,290,416,226,222,52,85,137,85,0,395,145,0,145,250,362,247,115,2010
AZ,3,13711,3503,3671,40,7214,6497,9226,2018,1308,40,3366,5860,4485,1485,2363,3848,637,1372,452,740,1192,180,25,1935,519,25,544,1391,2230,1052,1178,2010
CA,43,123480,23701,27115,83,50899,72581,96940,16992,15227,83,32302,64638,26540,6709,11888,18597,7943,8810,2234,3980,6214,2596,67,31235,6897,67,6964,24271,17604,6600,11004,2010
CO,3,15482,4895,4136,0,9031,6451,7574,3083,1493,0,4576,2998,7908,1812,2643,4455,3453,2234,541,812,1353,881,0,1432,510,0,510,922,1316,853,463,2010
CT,10,4316,2314,1503,0,3817,499,2993,1635,876,0,2511,482,1323,679,627,1306,17,447,225,215,440,7,0,777,595,0,595,182,483,423,60,2010
DE,1,982,481,439,10,930,52,681,358,261,10,629,52,301,123,178,301,0,111,50,61,111,0,7,97,64,7,71,26,74,69,5,2010
FL,28,57551,10242,11478,97,21817,35734,35738,6074,7060,97,13231,22507,21813,4168,4418,8586,13227,8017,1487,1387,2874,5143,85,9232,3615,85,3700,5532,7794,2818,4976,2010
GA,7,19836,4303,4443,0,8746,11090,14377,3146,2466,0,5612,8765,5459,1157,1977,3134,2325,1812,381,712,1093,719,0,3635,1495,0,1495,2140,2766,1372,1394,2010
