State,Full_State,Year,Overall_Homeless,Total_Population,Percent_Homeless
AK,Alaska,2010,1863,713910,0.26
AL,Alabama,2010,6046,4785437,0.13
AR,Arkansas,2010,2762,2921964,0.09
AZ,Arizona,2010,13711,6407172,0.21
CA,California,2010,123480,37319502,0.33
CO,Colorado,2010,15482,5047349,0.31
CT,Connecticut,2010,4316,3579114,0.12
DE,Delaware,2010,982,899593,0.11
FL,Florida,2010,57551,18845537,0.31
GA,Georgia,2010,19836,9711881,0.2
HI,Hawaii,2010,5834,1363963,0.43
IA,Iowa,2010,3014,3050745,0.1
ID,Idaho,2010,2346,1570746,0.15
IL,Illinois,2010,14395,12840503,0.11
IN,Indiana,2010,6452,6490432,0.1
KS,Kansas,2010,2024,2858190,0.07
KY,Kentucky,2010,6623,4348181,0.15
LA,Louisiana,2010,12482,4544532,0.27
MA,Massachusetts,2010,16646,6566307,0.25
MD,Maryland,2010,10845,5788645,0.19
ME,Maine,2010,2379,1327629,0.18
MI,Michigan,2010,13058,9877510,0.13
MN,Minnesota,2010,7869,5310828,0.15
MO,Missouri,2010,8122,5995974,0.14
MS,Mississippi,2010,2743,2970548,0.09
MT,Montana,2010,1615,990697,0.16
NC,North Carolina,2010,12191,9574323,0.13
ND,North Dakota,2010,799,674715,0.12
NE,Nebraska,2010,3877,1829542,0.21
NH,New Hampshire,2010,1574,1316762,0.12
NJ,New Jersey,2010,13737,8799446,0.16
NM,New Mexico,2010,3475,2064552,0.17
NV,Nevada,2010,11205,2702405,0.41
NY,New York,2010,65606,19399878,0.34
OH,Ohio,2010,12569,11539336,0.11
OK,Oklahoma,2010,5229,3759944,0.14
OR,Oregon,2010,19492,3837491,0.51
PA,Pennsylvania,2010,14516,12711160,0.11
RI,Rhode Island,2010,1282,1053959,0.12
SC,South Carolina,2010,4473,4635649,0.1
SD,South Dakota,2010,731,816166,0.09
TN,Tennessee,2010,10276,6355311,0.16
TX,Texas,2010,35121,25241971,0.14
UT,Utah,2010,3284,2775332,0.12
VA,Virginia,2010,9080,8023699,0.11
VT,Vermont,2010,1220,625879,0.19
WA,Washington,2010,22878,6742830,0.34
WI,Wisconsin,2010,6333,5690475,0.11
WV,West Virginia,2010,2264,1854239,0.12
WY,Wyoming,2010,579,564487,0.1
AK,Alaska,2011,2128,722128,0.29
AL,Alabama,2011,5558,4799069,0.12
AR,Arkansas,2011,3424,2940667,0.12
AZ,Arizona,2011,10504,6472643,0.16
CA,California,2011,125128,37638369,0.33
CO,Colorado,2011,15116,5121108,0.3
CT,Connecticut,2011,4456,3588283,0.12
DE,Delaware,2011,1035,907381,0.11
FL,Florida,2011,56687,19053237,0.3
GA,Georgia,2011,20975,9802431,0.21
HI,Hawaii,2011,6188,1379329,0.45
IA,Iowa,2011,3134,3066336,0.1
ID,Idaho,2011,2199,1583910,0.14
IL,Illinois,2011,14009,12867454,0.11
IN,Indiana,2011,6196,6516528,0.1
KS,Kansas,2011,2511,2869225,0.09
KY,Kentucky,2011,6034,4369821,0.14
LA,Louisiana,2011,9291,4575625,0.2
MA,Massachusetts,2011,16664,6613583,0.25
MD,Maryland,2011,10208,5839419,0.17
ME,Maine,2011,2447,1328284,0.18
MI,Michigan,2011,13185,9882412,0.13
MN,Minnesota,2011,7495,5346143,0.14
MO,Missouri,2011,8989,6010275,0.15
MS,Mississippi,2011,2306,2978731,0.08
MT,Montana,2011,1768,997316,0.18
NC,North Carolina,2011,12896,9657592,0.13
ND,North Dakota,2011,603,685225,0.09
NE,Nebraska,2011,3548,1840672,0.19
NH,New Hampshire,2011,1469,1320202,0.11
NJ,New Jersey,2011,14137,8828117,0.16
NM,New Mexico,2011,3601,2080450,0.17
NV,Nevada,2011,9150,2712730,0.34
NY,New York,2011,63445,19499241,0.33
OH,Ohio,2011,13030,11544663,0.11
OK,Oklahoma,2011,4625,3788379,0.12
OR,Oregon,2011,17254,3872036,0.45
PA,Pennsylvania,2011,15096,12745815,0.12
RI,Rhode Island,2011,1070,1053649,0.1
SC,South Carolina,2011,5093,4671994,0.11
SD,South Dakota,2011,826,823579,0.1
TN,Tennessee,2011,9113,6399291,0.14
TX,Texas,2011,36911,25645629,0.14
UT,Utah,2011,3130,2814384,0.11
VA,Virginia,2011,8816,8101155,0.11
VT,Vermont,2011,1144,627049,0.18
WA,Washington,2011,20439,6826627,0.3
WI,Wisconsin,2011,5785,5705288,0.1
WV,West Virginia,2011,2211,1856301,0.12
WY,Wyoming,2011,1038,567299,0.18
AK,Alaska,2012,1913,730443,0.26
AL,Alabama,2012,5209,4815588,0.11
AR,Arkansas,2012,4214,2952164,0.14
